,Name,Author,Rating,Reviews,Price,Year,Genre
0,11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction
0,10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction
